Project ID,Project Type,Activity,Contractor,Planned Days,Actual Days,Delay,Weather,Labour Required,Labour Available,Material Delay,Status
PRJ-2025-109,Commercial Building,Painting & Interiors,Urban Frameworks Inc,8,23,15,Heavy Rain / Monsoon,36,29,Yes - Supply Shortage,Critical Delay
PRJ-2025-110,Residential Apartment,Excavation & Earthwork,BuildTech Engineering,20,43,23,Extreme Heat,46,35,Yes - Supply Shortage,Critical Delay
PRJ-2025-110,Residential Apartment,Foundation & Piling,BuildTech Engineering,28,46,18,Clear / Normal,62,39,Yes - Quality Issue,Critical Delay
PRJ-2025-110,Residential Apartment,Reinforcement Tying,Apex Civil Infra Pvt Ltd,8,29,21,Heavy Rain / Monsoon,54,53,Yes - Vendor Delay,Critical Delay
PRJ-2025-110,Residential Apartment,Formwork & Shuttering,BuildTech Engineering,12,24,12,Clear / Normal,25,22,Yes - Quality Issue,Critical Delay
PRJ-2025-110,Residential Apartment,Concrete Pouring,Apex Civil Infra Pvt Ltd,33,55,22,Extreme Heat,25,20,Yes - Quality Issue,Critical Delay
PRJ-2025-110,Residential Apartment,Masonry & Blockwork,Urban Frameworks Inc,23,23,0,Clear / Normal,45,40,No,On Time
PRJ-2025-110,Residential Apartment,Structural Steel Erection,Urban Frameworks Inc,30,30,0,Clear / Normal,30,28,No,On Time
PRJ-2025-110,Residential Apartment,MEP Conduit Rough-Ins,Apex Civil Infra Pvt Ltd,7,20,13,Clear / Normal,39,36,Yes - Vendor Delay,Critical Delay
PRJ-2025-110,Residential Apartment,Plumbing & Piping,Apex Civil Infra Pvt Ltd,13,13,0,Extreme Heat,31,30,No,On Time
PRJ-2025-110,Residential Apartment,HVAC Ducting,Apex Civil Infra Pvt Ltd,12,28,16,Extreme Heat,57,57,Yes - Quality Issue,Critical Delay
PRJ-2025-111,Bridge Infrastructure,Plastering & Wall Finish,BuildTech Engineering,15,24,9,Clear / Normal,50,27,No,Critical Delay
PRJ-2025-111,Bridge Infrastructure,Waterproofing & Testing,Soma Structural Solutions,7,11,4,Clear / Normal,45,38,No,Minor Delay
PRJ-2025-111,Bridge Infrastructure,Flooring & Tiling,BuildTech Engineering,17,17,0,Clear / Normal,21,15,No,On Time
PRJ-2025-111,Bridge Infrastructure,Façade & Structural Glazing,Apex Civil Infra Pvt Ltd,19,19,0,Clear / Normal,29,29,No,On Time
PRJ-2025-111,Bridge Infrastructure,Painting & Interiors,Vanguard MEP Services,10,10,0,Clear / Normal,23,21,No,On Time
PRJ-2025-111,Bridge Infrastructure,Excavation & Earthwork,Vanguard MEP Services,22,26,4,Heavy Rain / Monsoon,42,40,No,Minor Delay
PRJ-2025-111,Bridge Infrastructure,Foundation & Piling,Urban Frameworks Inc,31,31,0,Clear / Normal,27,27,No,On Time
PRJ-2025-111,Bridge Infrastructure,Reinforcement Tying,Apex Civil Infra Pvt Ltd,9,18,9,Clear / Normal,36,29,Yes - Quality Issue,Critical Delay
PRJ-2025-111,Bridge Infrastructure,Formwork & Shuttering,Apex Civil Infra Pvt Ltd,12,26,14,Extreme Heat,35,34,Yes - Vendor Delay,Critical Delay
PRJ-2025-111,Bridge Infrastructure,Concrete Pouring,Apex Civil Infra Pvt Ltd,22,41,19,Extreme Heat,32,27,Yes - Supply Shortage,Critical Delay
PRJ-2025-112,Industrial Facility,Masonry & Blockwork,BuildTech Engineering,19,23,4,Clear / Normal,24,24,No,Minor Delay
PRJ-2025-112,Industrial Facility,Structural Steel Erection,Apex Civil Infra Pvt Ltd,32,51,19,Unseasonal Rain,22,21,Yes - Supply Shortage,Critical Delay
PRJ-2025-112,Industrial Facility,MEP Conduit Rough-Ins,Vanguard MEP Services,10,12,2,Extreme Heat,25,25,No,Minor Delay
PRJ-2025-112,Industrial Facility,Plumbing & Piping,Vanguard MEP Services,11,13,2,Clear / Normal,37,32,No,Minor Delay
PRJ-2025-112,Industrial Facility,HVAC Ducting,BuildTech Engineering,7,25,18,Heavy Rain / Monsoon,51,38,No,Critical Delay
PRJ-2025-112,Industrial Facility,Plastering & Wall Finish,Urban Frameworks Inc,24,24,0,Extreme Heat,22,19,No,On Time
PRJ-2025-112,Industrial Facility,Waterproofing & Testing,BuildTech Engineering,15,25,10,Extreme Heat,32,18,No,Critical Delay
PRJ-2025-112,Industrial Facility,Flooring & Tiling,Urban Frameworks Inc,23,34,11,Clear / Normal,64,56,Yes - Vendor Delay,Critical Delay
PRJ-2025-112,Industrial Facility,Façade & Structural Glazing,Apex Civil Infra Pvt Ltd,30,41,11,Clear / Normal,42,38,Yes - Quality Issue,Critical Delay
PRJ-2025-112,Industrial Facility,Painting & Interiors,Soma Structural Solutions,15,32,17,Unseasonal Rain,31,28,Yes - Quality Issue,Critical Delay
